City Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country,Hotel Name
3380290,Sinnamary,5.3833,-52.95,298.51,89,86,4.75,1653080092,GF,Hotel Du Fleuve
3573374,The Valley,18.217,-63.0578,303.07,70,40,6.17,1653080092,AI,Fountain Residences Anguilla
3728097,Les Cayes,18.2,-73.75,301.63,73,48,4.41,1653080096,HT,Caribbean Hôtel Cayes
376332,Doka,13.5167,35.7667,305.6,33,55,6.3,1653080157,SD,No Hotel nearby
4333811,Morgan City,29.6994,-91.2068,304.27,74,20,5.14,1653080157,US,Morgan City Motel & Apartments
3668605,Santa Marta,11.2408,-74.199,304.76,63,75,2.06,1653079913,CO,Camali Hotel
1684803,Tabuk,17.4189,121.4443,296.15,90,99,1.13,1653080158,PH,Davidson Hotel
53654,Mogadishu,2.0371,45.3438,299.67,80,39,7.4,1653080158,SO,Villa Rose Guest House
3598787,Champerico,14.3,-91.9167,305.45,65,100,3.54,1653080159,GT,Hotel Miramar
103630,Najrān,17.4924,44.1277,299.51,13,4,1.15,1653080159,SA,Clouds and stars of residential units
2250645,Kédougou,12.5579,-12.1743,307.96,21,33,1.88,1653080160,SN,campement timinandya
4535783,El Reno,35.5323,-97.955,301.71,42,0,5.14,1653080161,US,Hotel El Reno
3689709,Arbeláez,4.2725,-74.4151,294.92,81,97,0.86,1653080162,CO,Hotel Bella Vista
2132606,Samarai,-10.6167,150.6667,300.9,75,37,3.69,1653080163,PG,Nuli Sapi
3663503,Manicoré,-5.8092,-61.3003,302.12,51,0,2.06,1653080164,BR,Hotel Durval
1264010,Mālūr,13.0075,77.9378,295.97,89,100,6.38,1653080166,IN,SPOT ON 46657 Sharav Chandra's Hotel
1168700,Ormara,25.2088,64.6357,300.66,93,4,6.88,1653080060,PK,Crystal Beach and Camping Resort Ormara
3587498,Acajutla,13.5928,-89.8275,302.16,66,81,2.93,1653080167,SV,Villavela Hotel Boutique
2269142,Colares,38.7992,-9.4469,299.97,54,0,6.17,1653079913,PT,Vila Vitorino
3386177,Trairi,-3.2778,-39.2689,298.58,87,96,2.32,1653080009,BR,Pousada Field Lilies - Trairi
3687972,Calamar,10.2511,-74.9146,302.61,72,100,3.77,1653080168,CO,Hostal Katyalex
